Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,348311,-,-,-,32.25,-110.94,0,741,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2012,1,1,0,30,15.700000000000001,1.23,0.031,0.62,0,0,0,0,0,2.1,0,0,0,0,0.28600000000000003,39.88,91.03,0.87,0.18,934,0.5,171,1.4000000000000001
2012,1,1,1,30,14.3,1.23,0.03,0.62,0,0,0,0,0,0.9,0,0,0,0,0.28600000000000003,40.21,102.69,0.87,0.18,934,0.5,14,1.4000000000000001
2012,1,1,2,30,13.100000000000001,1.25,0.03,0.62,0,0,0,0,0,0.4,0,0,0,0,0.28600000000000003,41.67,114.87,0.87,0.18,935,0.5,36,1.4000000000000001
2012,1,1,3,30,12.200000000000001,1.27,0.029,0.62,0,0,0,0,0,-0.30000000000000004,0,0,0,0,0.28700000000000003,42.22,127.38000000000001,0.86,0.18,935,0.5,52,1.5
2012,1,1,4,30,11.4,1.29,0.028,0.62,0,0,0,0,0,-1.1,0,0,0,0,0.28700000000000003,42,140.05,0.86,0.18,935,0.4,66,1.5
2012,1,1,5,30,10.5,1.32,0.027,0.62,0,0,0,0,1,-1.9000000000000001,0,0,0,0,0.28700000000000003,41.93,152.62,0.86,0.18,935,0.4,79,1.6
2012,1,1,6,30,9.4,1.34,0.025,0.62,0,0,0,0,0,-2.7,0,0,0,0,0.28800000000000003,42.51,164.41,0.86,0.18,935,0.4,90,1.7000000000000002
2012,1,1,7,30,8.3,1.35,0.025,0.62,0,0,0,0,0,-3.4000000000000004,0,0,0,0,0.28800000000000003,43.61,170.77,0.85,0.18,936,0.4,99,1.8
2012,1,1,8,30,7.5,1.36,0.024,0.62,0,0,0,0,0,-3.9000000000000004,0,0,0,0,0.28700000000000003,44.14,163.31,0.85,0.18,936,0.4,104,2
2012,1,1,9,30,7.300000000000001,1.36,0.023,0.62,0,0,0,0,1,-4.5,0,0,0,0,0.28700000000000003,42.76,151.37,0.85,0.18,936,0.4,107,2.4000000000000004
2012,1,1,10,30,7.5,1.36,0.022,0.62,0,0,0,0,0,-5,0,0,0,0,0.28600000000000003,40.77,138.76,0.85,0.18,936,0.4,109,3.3000000000000003
2012,1,1,11,30,7.800000000000001,1.35,0.022,0.62,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.28600000000000003,39.47,126.10000000000001,0.86,0.18,937,0.4,111,4.5
2012,1,1,12,30,7.800000000000001,1.32,0.022,0.62,0,0,0,0,1,-5.2,0,0,0,0,0.28600000000000003,39.43,113.62,0.86,0.18,937,0.4,113,5.300000000000001
2012,1,1,13,30,7.5,1.3,0.022,0.62,0,0,0,0,3,-5.4,0,0,0,0,0.28600000000000003,39.4,101.47,0.86,0.18,938,0.4,114,5.800000000000001
2012,1,1,14,30,8.4,1.28,0.022,0.62,0,0,0,7,3,-6,0,0,7,0,0.28500000000000003,35.39,89.44,0.86,0.18,939,0.4,115,6.300000000000001
2012,1,1,15,30,11.3,1.26,0.023,0.62,39,727,177,0,0,-6.2,39,727,0,177,0.28400000000000003,28.78,79.03,0.86,0.18,939,0.4,113,6.6000000000000005
2012,1,1,16,30,15.4,1.25,0.023,0.62,52,893,364,0,0,-5.5,52,893,0,364,0.28300000000000003,23.330000000000002,69.56,0.86,0.18,939,0.4,113,6.7
2012,1,1,17,30,19.200000000000003,1.25,0.023,0.62,60,957,510,0,0,-4.5,60,957,0,510,0.28200000000000003,19.69,61.92,0.87,0.18,939,0.5,113,6.5
2012,1,1,18,30,21.900000000000002,1.1500000000000001,0.035,0.62,71,975,604,0,0,-3.9000000000000004,71,975,0,604,0.281,17.490000000000002,56.9,0.87,0.18,938,0.5,110,6
2012,1,1,19,30,23.8,1.16,0.033,0.62,71,988,635,0,0,-3.9000000000000004,71,988,0,635,0.28,15.6,55.230000000000004,0.87,0.18,937,0.5,107,5.300000000000001
2012,1,1,20,30,24.700000000000003,1.17,0.032,0.62,69,978,599,0,0,-4.2,69,978,0,599,0.28,14.43,57.22,0.88,0.18,937,0.5,104,4.7
2012,1,1,21,30,24.5,1.16,0.041,0.62,69,926,496,1,0,-4.2,69,926,1,496,0.28,14.61,62.52,0.88,0.18,937,0.5,100,4.1000000000000005
2012,1,1,22,30,22.1,1.17,0.039,0.62,58,844,342,0,0,-2.4000000000000004,58,844,0,342,0.281,19.3,70.35000000000001,0.88,0.18,937,0.5,94,3.1
2012,1,1,23,30,17.7,1.18,0.037,0.62,41,656,155,0,0,0.9,41,656,0,155,0.28200000000000003,32.230000000000004,79.96000000000001,0.88,0.18,937,0.5,92,2.6
2012,1,2,0,30,14.8,1.2,0.035,0.62,0,0,0,0,0,-0.6000000000000001,0,0,0,0,0.28300000000000003,34.9,90.9,0.88,0.18,937,0.5,97,3.2
2012,1,2,1,30,14,1.22,0.034,0.62,0,0,0,0,0,-1.9000000000000001,0,0,0,0,0.28300000000000003,33.410000000000004,102.56,0.88,0.18,938,0.5,103,4.2
2012,1,2,2,30,13.100000000000001,1.23,0.033,0.62,0,0,0,0,0,-2.7,0,0,0,0,0.28400000000000003,33.410000000000004,114.74000000000001,0.88,0.18,938,0.5,108,5
2012,1,2,3,30,12,1.23,0.033,0.62,0,0,0,0,0,-3,0,0,0,0,0.28300000000000003,34.89,127.25,0.88,0.18,939,0.5,110,5.2
2012,1,2,4,30,11,1.25,0.032,0.62,0,0,0,0,0,-3.4000000000000004,0,0,0,0,0.28300000000000003,36.35,139.91,0.88,0.18,939,0.5,110,5.5
2012,1,2,5,30,10.200000000000001,1.26,0.032,0.62,0,0,0,0,0,-3.9000000000000004,0,0,0,0,0.28300000000000003,36.95,152.49,0.88,0.18,939,0.5,110,5.7
2012,1,2,6,30,9.4,1.27,0.032,0.62,0,0,0,0,0,-4.3,0,0,0,0,0.28300000000000003,37.87,164.27,0.88,0.18,939,0.5,109,5.9
2012,1,2,7,30,8.8,1.29,0.031,0.62,0,0,0,0,0,-4.6000000000000005,0,0,0,0,0.28300000000000003,38.53,170.69,0.88,0.18,939,0.5,108,6
2012,1,2,8,30,8.200000000000001,1.3,0.031,0.62,0,0,0,0,0,-4.800000000000001,0,0,0,0,0.28300000000000003,39.31,163.35,0.88,0.18,939,0.5,108,6
2012,1,2,9,30,7.6000000000000005,1.31,0.031,0.62,0,0,0,0,0,-5,0,0,0,0,0.28300000000000003,40.34,151.43,0.88,0.18,939,0.5,108,6
2012,1,2,10,30,7.300000000000001,1.31,0.03,0.62,0,0,0,0,0,-5.2,0,0,0,0,0.28300000000000003,40.81,138.83,0.88,0.18,939,0.5,108,6
2012,1,2,11,30,6.9,1.32,0.03,0.62,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.28300000000000003,41.6,126.17,0.88,0.18,939,0.5,108,6.1000000000000005
2012,1,2,12,30,6.6000000000000005,1.32,0.03,0.62,0,0,0,0,0,-5.4,0,0,0,0,0.28300000000000003,41.95,113.67,0.88,0.18,939,0.5,109,6.300000000000001
2012,1,2,13,30,6.4,1.32,0.03,0.62,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.28300000000000003,41.88,101.52,0.88,0.18,940,0.5,109,6.5
2012,1,2,14,30,7.4,1.32,0.029,0.62,0,0,0,0,1,-5.9,0,0,0,0,0.28300000000000003,38.33,89.47,0.88,0.18,940,0.5,111,6.9
2012,1,2,15,30,10.3,1.32,0.029,0.62,40,701,174,0,0,-6,40,701,0,174,0.28300000000000003,31.34,79.05,0.88,0.18,941,0.5,112,7.2
2012,1,2,16,30,14.5,1.33,0.028,0.62,55,874,360,0,0,-5.6000000000000005,55,874,0,360,0.28200000000000003,24.46,69.56,0.88,0.18,941,0.5,112,7.2
2012,1,2,17,30,18.400000000000002,1.33,0.027,0.62,62,952,511,0,0,-5.2,62,952,0,511,0.28200000000000003,19.68,61.89,0.88,0.18,941,0.5,112,7
2012,1,2,18,30,21.1,1.28,0.039,0.62,73,971,605,0,0,-4.6000000000000005,73,971,0,605,0.281,17.46,56.84,0.89,0.18,940,0.5,111,6.5
2012,1,2,19,30,23,1.29,0.036000000000000004,0.62,73,986,636,0,0,-4.1000000000000005,73,986,0,636,0.28,16.06,55.15,0.89,0.18,939,0.5,111,5.800000000000001
2012,1,2,20,30,24.1,1.3,0.035,0.62,71,975,601,0,0,-4,71,975,0,601,0.279,15.15,57.11,0.89,0.18,938,0.5,109,5.1000000000000005
2012,1,2,21,30,24.1,1.3,0.036000000000000004,0.62,67,935,500,1,0,-4,67,935,1,500,0.279,15.18,62.39,0.89,0.18,938,0.5,105,4.3
2012,1,2,22,30,21.900000000000002,1.31,0.034,0.62,57,856,346,0,0,-2.9000000000000004,57,856,0,346,0.279,18.830000000000002,70.22,0.89,0.18,938,0.5,99,3
2012,1,2,23,30,17.400000000000002,1.32,0.033,0.62,40,672,159,0,0,0.9,40,672,0,159,0.279,32.82,79.82000000000001,0.88,0.18,938,0.5,96,2.3000000000000003
2012,1,3,0,30,14.200000000000001,1.33,0.031,0.62,0,0,0,0,0,-0.5,0,0,0,0,0.28,36.35,90.21000000000001,0.88,0.18,938,0.5,100,2.6
2012,1,3,1,30,13.200000000000001,1.34,0.03,0.62,0,0,0,0,0,-1.9000000000000001,0,0,0,0,0.28,35.06,102.42,0.88,0.18,938,0.4,107,3.3000000000000003
2012,1,3,2,30,12.5,1.34,0.029,0.62,0,0,0,0,0,-2.8000000000000003,0,0,0,0,0.279,34.28,114.60000000000001,0.88,0.18,939,0.4,112,4
2012,1,3,3,30,11.5,1.34,0.028,0.62,0,0,0,0,0,-3.4000000000000004,0,0,0,0,0.279,35.050000000000004,127.12,0.89,0.18,939,0.4,116,4.4
2012,1,3,4,30,10.4,1.33,0.028,0.62,0,0,0,0,0,-3.7,0,0,0,0,0.279,37.03,139.78,0.89,0.18,940,0.4,117,4.7
2012,1,3,5,30,9.5,1.33,0.028,0.62,0,0,0,0,0,-4,0,0,0,0,0.28,38.43,152.35,0.89,0.18,940,0.4,117,4.9
2012,1,3,6,30,8.700000000000001,1.34,0.028,0.62,0,0,0,0,0,-4.3,0,0,0,0,0.28,39.59,164.13,0.89,0.18,940,0.4,115,5.1000000000000005
2012,1,3,7,30,8.1,1.35,0.028,0.62,0,0,0,0,0,-4.7,0,0,0,0,0.281,40.160000000000004,170.61,0.89,0.18,939,0.4,114,5.1000000000000005
2012,1,3,8,30,7.6000000000000005,1.36,0.028,0.62,0,0,0,0,0,-5,0,0,0,0,0.281,40.5,163.38,0.89,0.18,939,0.4,113,5.1000000000000005
2012,1,3,9,30,7.2,1.37,0.028,0.62,0,0,0,0,0,-5.300000000000001,0,0,0,0,0.281,40.74,151.49,0.89,0.18,939,0.4,111,5.2
2012,1,3,10,30,6.800000000000001,1.3900000000000001,0.028,0.62,0,0,0,0,0,-5.5,0,0,0,0,0.281,41.14,138.89000000000001,0.89,0.18,939,0.5,111,5.2
2012,1,3,11,30,6.4,1.4000000000000001,0.028,0.62,0,0,0,0,0,-5.7,0,0,0,0,0.28,41.81,126.23,0.89,0.18,939,0.5,111,5.2
2012,1,3,12,30,6,1.41,0.029,0.62,0,0,0,0,0,-5.800000000000001,0,0,0,0,0.28,42.550000000000004,113.73,0.89,0.18,939,0.5,112,5.2
2012,1,3,13,30,5.800000000000001,1.43,0.03,0.62,0,0,0,0,0,-5.9,0,0,0,0,0.28,42.74,101.57000000000001,0.89,0.18,939,0.6000000000000001,113,5.2
2012,1,3,14,30,7.1000000000000005,1.44,0.03,0.62,0,0,0,0,1,-6,0,0,0,0,0.279,38.89,89.5,0.89,0.18,939,0.7000000000000001,114,5.300000000000001
2012,1,3,15,30,10.3,1.45,0.03,0.62,40,684,170,0,0,-5.800000000000001,40,684,0,170,0.278,31.86,79.07000000000001,0.89,0.18,940,0.7000000000000001,114,5.2
2012,1,3,16,30,14.4,1.46,0.03,0.62,55,850,352,0,0,-4.9,55,850,0,352,0.278,25.900000000000002,69.55,0.89,0.18,940,0.8,112,4.5
2012,1,3,17,30,18.900000000000002,1.47,0.029,0.62,63,924,499,0,0,-3.6,63,924,0,499,0.278,21.51,61.86,0.9,0.18,939,0.9,112,3.6
2012,1,3,18,30,22.6,1.43,0.043000000000000003,0.62,75,938,589,0,0,-3.5,75,938,0,589,0.277,17.26,56.78,0.91,0.18,938,1,115,2.5
2012,1,3,19,30,24.900000000000002,1.44,0.043000000000000003,0.62,76,945,617,0,0,-4.6000000000000005,76,945,0,617,0.277,13.84,55.050000000000004,0.91,0.18,937,1.1,111,1.4000000000000001
2012,1,3,20,30,25.900000000000002,1.44,0.042,0.62,74,930,581,0,0,-4.4,74,930,0,581,0.278,13.22,56.99,0.91,0.18,936,1.2000000000000002,216,1.1
2012,1,3,21,30,25.400000000000002,1.42,0.043000000000000003,0.62,69,889,483,1,0,-3.3000000000000003,69,889,1,483,0.28,14.8,62.25,0.91,0.18,936,1.2000000000000002,330,1.3
2012,1,3,22,30,22.8,1.4000000000000001,0.042,0.62,59,805,333,7,4,1.2000000000000002,199,59,7,219,0.28300000000000003,24.080000000000002,70.08,0.91,0.18,936,1.2000000000000002,337,1.3
2012,1,3,23,30,19.200000000000003,1.3900000000000001,0.04,0.62,41,620,152,0,7,5.2,4,0,0,4,0.28500000000000003,39.79,79.68,0.9,0.18,936,1.2000000000000002,348,1.3
2012,1,4,0,30,16.900000000000002,1.37,0.037,0.62,0,0,0,0,4,2.3000000000000003,0,0,0,0,0.28800000000000003,37.52,90.09,0.89,0.18,937,1.2000000000000002,182,1.3
2012,1,4,1,30,16,1.36,0.033,0.62,0,0,0,0,0,1.1,0,0,0,0,0.291,36.33,102.28,0.88,0.18,937,1.1,17,1.3
2012,1,4,2,30,15.4,1.35,0.031,0.62,0,0,0,0,0,0,0,0,0,0,0.293,34.99,114.47,0.88,0.18,938,1,32,1.2000000000000002
2012,1,4,3,30,15,1.33,0.029,0.62,0,0,0,0,0,-0.8,0,0,0,0,0.295,33.89,126.98,0.87,0.18,938,0.9,46,1.1
2012,1,4,4,30,14.700000000000001,1.31,0.028,0.62,0,0,0,0,0,-1.6,0,0,0,0,0.298,32.58,139.64000000000001,0.87,0.18,938,0.9,65,1
2012,1,4,5,30,14.4,1.3,0.027,0.62,0,0,0,0,1,-2.3000000000000003,0,0,0,0,0.301,31.580000000000002,152.22,0.87,0.18,938,0.8,81,0.9
2012,1,4,6,30,13.9,1.29,0.027,0.62,0,0,0,0,0,-2.6,0,0,0,0,0.303,31.75,163.99,0.87,0.18,938,0.8,89,0.9
2012,1,4,7,30,13.3,1.29,0.027,0.62,0,0,0,0,0,-2.9000000000000004,0,0,0,0,0.305,32.31,170.51,0.87,0.18,938,0.7000000000000001,91,0.9
2012,1,4,8,30,12.700000000000001,1.29,0.028,0.62,0,0,0,0,1,-3.2,0,0,0,0,0.307,32.94,163.4,0.87,0.18,938,0.7000000000000001,91,0.9
2012,1,4,9,30,12.3,1.29,0.029,0.62,0,0,0,0,0,-3.5,0,0,0,0,0.309,33.01,151.54,0.87,0.18,938,0.7000000000000001,90,1
2012,1,4,10,30,11.9,1.28,0.029,0.62,0,0,0,0,0,-3.8000000000000003,0,0,0,0,0.311,33.11,138.95000000000002,0.87,0.18,937,0.7000000000000001,88,1
2012,1,4,11,30,11.3,1.28,0.029,0.62,0,0,0,0,0,-4.1000000000000005,0,0,0,0,0.312,33.78,126.28,0.87,0.18,938,0.6000000000000001,85,1.2000000000000002
2012,1,4,12,30,10.3,1.27,0.029,0.62,0,0,0,0,1,-4.4,0,0,0,0,0.314,35.38,113.78,0.87,0.18,938,0.6000000000000001,82,1.3
2012,1,4,13,30,9.1,1.26,0.028,0.62,0,0,0,0,3,-4.6000000000000005,0,0,0,0,0.315,37.77,101.61,0.87,0.18,938,0.6000000000000001,83,1.6
2012,1,4,14,30,9.8,1.26,0.026000000000000002,0.62,0,0,0,7,3,-4.5,0,0,7,0,0.314,36.300000000000004,89.53,0.87,0.18,939,0.6000000000000001,88,1.8
2012,1,4,15,30,13.100000000000001,1.26,0.024,0.62,38,701,171,0,0,-1.9000000000000001,38,701,0,171,0.313,35.31,79.08,0.87,0.18,940,0.6000000000000001,93,2.6
2012,1,4,16,30,16.8,1.27,0.022,0.62,51,874,357,0,0,-3.9000000000000004,51,874,0,357,0.312,23.98,69.54,0.87,0.18,940,0.6000000000000001,93,3.5
2012,1,4,17,30,20.1,1.27,0.021,0.62,58,951,508,0,0,-4.7,58,951,0,508,0.309,18.35,61.82,0.88,0.18,940,0.6000000000000001,92,4.3
2012,1,4,18,30,22.5,1.4000000000000001,0.043000000000000003,0.62,75,967,605,0,0,-6.7,75,967,0,605,0.305,13.58,56.71,0.89,0.18,939,0.5,93,4.800000000000001
2012,1,4,19,30,23.5,1.36,0.036000000000000004,0.62,73,986,639,0,0,-7.2,73,986,0,639,0.301,12.34,54.95,0.89,0.18,938,0.5,98,4.7
2012,1,4,20,30,23.8,1.34,0.03,0.62,68,982,605,0,0,-7.300000000000001,68,982,0,605,0.297,12.07,56.870000000000005,0.88,0.18,938,0.5,100,4.6000000000000005
2012,1,4,21,30,23.3,1.33,0.032,0.62,65,943,506,1,0,-7.2,65,943,1,506,0.295,12.530000000000001,62.11,0.88,0.18,937,0.5,98,4.4
2012,1,4,22,30,21.1,1.32,0.029,0.62,55,868,352,0,0,-6.2,55,868,0,352,0.294,15.44,69.93,0.88,0.18,937,0.5,94,3.3000000000000003
2012,1,4,23,30,16.7,1.31,0.028,0.62,39,690,164,0,0,-1,39,690,0,164,0.293,29.92,79.54,0.88,0.18,938,0.5,93,2
2012,1,5,0,30,13.200000000000001,1.29,0.028,0.62,0,0,0,0,0,-0.9,0,0,0,0,0.293,37.77,89.96000000000001,0.88,0.18,938,0.5,97,1.8
2012,1,5,1,30,11.700000000000001,1.28,0.028,0.62,0,0,0,0,0,-1.5,0,0,0,0,0.293,40.04,102.14,0.88,0.18,939,0.5,102,1.9000000000000001
2012,1,5,2,30,10.700000000000001,1.28,0.028,0.62,0,0,0,0,0,-1.7000000000000002,0,0,0,0,0.293,41.910000000000004,114.33,0.88,0.18,939,0.5,105,2
2012,1,5,3,30,9.8,1.27,0.027,0.62,0,0,0,0,0,-2.1,0,0,0,0,0.293,43.4,126.84,0.88,0.18,939,0.5,105,2.2
2012,1,5,4,30,9.200000000000001,1.26,0.026000000000000002,0.62,0,0,0,0,0,-2.5,0,0,0,0,0.294,43.82,139.51,0.88,0.18,939,0.5,104,2.4000000000000004
2012,1,5,5,30,8.700000000000001,1.25,0.024,0.62,0,0,0,0,0,-3,0,0,0,0,0.294,43.79,152.08,0.88,0.18,938,0.4,104,2.7
2012,1,5,6,30,8.1,1.24,0.023,0.62,0,0,0,0,0,-3.4000000000000004,0,0,0,0,0.294,44.19,163.84,0.88,0.18,938,0.4,105,2.9000000000000004
2012,1,5,7,30,7.5,1.22,0.022,0.62,0,0,0,0,0,-3.7,0,0,0,0,0.294,44.86,170.41,0.88,0.18,938,0.4,106,3
2012,1,5,8,30,6.9,1.22,0.022,0.62,0,0,0,0,0,-4,0,0,0,0,0.294,45.83,163.42000000000002,0.88,0.18,938,0.4,107,2.9000000000000004
2012,1,5,9,30,6.4,1.21,0.022,0.62,0,0,0,0,0,-4.2,0,0,0,0,0.295,46.71,151.59,0.88,0.18,938,0.5,104,3
2012,1,5,10,30,6.2,1.22,0.022,0.62,0,0,0,0,0,-4.5,0,0,0,0,0.296,46.43,139,0.88,0.18,938,0.5,102,3.3000000000000003
2012,1,5,11,30,6.2,1.23,0.021,0.62,0,0,0,0,0,-4.800000000000001,0,0,0,0,0.297,45.300000000000004,126.34,0.88,0.18,938,0.4,101,3.6
2012,1,5,12,30,6.1000000000000005,1.23,0.021,0.62,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.297,44.61,113.82000000000001,0.88,0.18,938,0.4,101,3.9000000000000004
2012,1,5,13,30,6,1.24,0.02,0.62,0,0,0,0,1,-5.300000000000001,0,0,0,0,0.298,44.15,101.64,0.88,0.18,938,0.4,103,4.1000000000000005
2012,1,5,14,30,7.4,1.24,0.02,0.62,0,0,0,7,4,-5.4,0,0,7,0,0.298,39.69,89.54,0.88,0.18,938,0.4,106,4.7
2012,1,5,15,30,10.600000000000001,1.24,0.02,0.62,38,732,176,0,0,-5.300000000000001,38,732,0,176,0.297,32.24,79.09,0.88,0.18,938,0.4,107,5.1000000000000005
2012,1,5,16,30,14.5,1.24,0.02,0.62,51,898,365,0,0,-4.800000000000001,51,898,0,365,0.296,26.02,69.53,0.88,0.18,938,0.4,108,4.800000000000001
2012,1,5,17,30,18.7,1.24,0.019,0.62,57,973,518,0,0,-4.3,57,973,0,518,0.295,20.62,61.77,0.88,0.18,937,0.4,112,4.5
2012,1,5,18,30,21.5,1.24,0.024,0.62,65,1001,615,0,0,-6.5,65,1001,0,615,0.294,14.74,56.63,0.88,0.18,936,0.4,118,3.9000000000000004
2012,1,5,19,30,22.900000000000002,1.24,0.024,0.62,66,1011,649,0,0,-7.5,66,1011,0,649,0.292,12.5,54.84,0.88,0.18,935,0.4,121,3
2012,1,5,20,30,23.400000000000002,1.24,0.024,0.62,65,1001,614,0,0,-8.200000000000001,65,1001,0,614,0.291,11.49,56.730000000000004,0.89,0.18,934,0.4,120,2.2
2012,1,5,21,30,23.3,1.26,0.028,0.62,63,960,514,1,0,-8.6,63,960,1,514,0.291,11.24,61.97,0.89,0.18,933,0.4,112,1.4000000000000001
2012,1,5,22,30,21.900000000000002,1.28,0.028,0.62,55,872,356,0,0,-7.7,55,872,0,356,0.29,13.1,69.78,0.89,0.18,933,0.5,81,0.8
2012,1,5,23,30,19.5,1.29,0.027,0.62,39,698,168,0,0,-0.6000000000000001,39,698,0,168,0.29,25.79,79.39,0.89,0.18,933,0.5,54,0.7000000000000001
2012,1,6,0,30,17.5,1.31,0.027,0.62,0,0,0,0,1,-4.4,0,0,0,0,0.291,22.19,89.85000000000001,0.88,0.18,933,0.5,58,0.8
2012,1,6,1,30,16.3,1.33,0.027,0.62,0,0,0,0,3,-5.4,0,0,0,0,0.291,22.17,101.99000000000001,0.88,0.18,932,0.5,78,0.9
2012,1,6,2,30,15.100000000000001,1.35,0.028,0.62,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.291,23.490000000000002,114.18,0.88,0.18,932,0.5,100,1
2012,1,6,3,30,14,1.35,0.029,0.62,0,0,0,0,0,-5.7,0,0,0,0,0.291,25.03,126.7,0.88,0.18,932,0.5,120,1.1
2012,1,6,4,30,13.200000000000001,1.35,0.031,0.62,0,0,0,0,0,-5.9,0,0,0,0,0.29,25.94,139.37,0.89,0.18,932,0.5,136,1.2000000000000002
2012,1,6,5,30,12.8,1.34,0.033,0.62,0,0,0,0,0,-5.9,0,0,0,0,0.289,26.8,151.93,0.89,0.18,932,0.5,148,1.2000000000000002
2012,1,6,6,30,12.3,1.35,0.033,0.62,0,0,0,0,0,-5.800000000000001,0,0,0,0,0.28800000000000003,27.79,163.69,0.88,0.18,932,0.5,157,1.2000000000000002
2012,1,6,7,30,11.5,1.37,0.032,0.62,0,0,0,0,1,-6.300000000000001,0,0,0,0,0.28700000000000003,28.21,170.3,0.88,0.18,932,0.5,161,1.2000000000000002
2012,1,6,8,30,10.8,1.3800000000000001,0.032,0.62,0,0,0,0,0,-6.9,0,0,0,0,0.28600000000000003,28.12,163.43,0.88,0.18,931,0.5,159,1.2000000000000002
2012,1,6,9,30,10.3,1.3900000000000001,0.031,0.62,0,0,0,0,0,-7.2,0,0,0,0,0.28500000000000003,28.45,151.63,0.88,0.18,931,0.5,156,1.3
2012,1,6,10,30,10,1.4000000000000001,0.03,0.62,0,0,0,0,0,-7.5,0,0,0,0,0.28500000000000003,28.51,139.05,0.88,0.18,931,0.5,154,1.3
2012,1,6,11,30,9.8,1.3900000000000001,0.029,0.62,0,0,0,0,1,-7.6000000000000005,0,0,0,0,0.28400000000000003,28.53,126.38000000000001,0.88,0.18,931,0.5,154,1.3
2012,1,6,12,30,9.600000000000001,1.3900000000000001,0.028,0.62,0,0,0,0,1,-7.800000000000001,0,0,0,0,0.28400000000000003,28.43,113.87,0.88,0.18,931,0.5,155,1.4000000000000001
2012,1,6,13,30,9.600000000000001,1.37,0.027,0.62,0,0,0,0,4,-8,0,0,0,0,0.28300000000000003,28.16,101.67,0.88,0.18,931,0.5,155,1.4000000000000001
2012,1,6,14,30,10.8,1.35,0.026000000000000002,0.62,0,0,0,7,3,-7.800000000000001,0,0,7,0,0.28200000000000003,26.37,89.57000000000001,0.88,0.18,932,0.5,154,1.2000000000000002
2012,1,6,15,30,14,1.32,0.026000000000000002,0.62,39,709,174,0,0,-2.7,39,709,0,174,0.281,31.34,79.09,0.88,0.18,932,0.5,154,1.4000000000000001
2012,1,6,16,30,17.7,1.29,0.026000000000000002,0.62,54,880,362,0,0,-4.7,54,880,0,362,0.279,21.37,69.5,0.88,0.18,933,0.5,168,1.6
2012,1,6,17,30,20.400000000000002,1.27,0.026000000000000002,0.62,62,956,515,0,0,-7.6000000000000005,62,956,0,515,0.277,14.42,61.72,0.89,0.18,932,0.5,221,1.9000000000000001
2012,1,6,18,30,22.1,1.18,0.033,0.62,70,974,607,0,0,-8.8,70,974,0,607,0.276,11.88,56.54,0.89,0.18,932,0.6000000000000001,268,2.4000000000000004
2012,1,6,19,30,22.8,1.18,0.033,0.62,72,985,641,0,0,-8.8,72,985,0,641,0.275,11.39,54.72,0.89,0.18,931,0.6000000000000001,282,2.7
2012,1,6,20,30,22.900000000000002,1.18,0.033,0.62,70,974,607,0,0,-8.4,70,974,0,607,0.274,11.67,56.59,0.89,0.18,930,0.6000000000000001,286,2.8000000000000003
2012,1,6,21,30,22.5,1.18,0.032,0.62,65,938,508,1,0,-7.9,65,938,1,508,0.273,12.41,61.82,0.89,0.18,930,0.6000000000000001,289,2.7
2012,1,6,22,30,20.400000000000002,1.18,0.033,0.62,57,858,355,0,0,-7.2,57,858,0,355,0.273,14.92,69.63,0.88,0.18,930,0.6000000000000001,292,1.8
2012,1,6,23,30,17.3,1.19,0.033,0.62,41,679,168,0,0,1.4000000000000001,41,679,0,168,0.273,34.18,79.23,0.88,0.18,930,0.6000000000000001,300,1.2000000000000002
2012,1,7,0,30,15.5,1.19,0.033,0.62,0,0,0,0,0,-1.8,0,0,0,0,0.273,30.54,89.71000000000001,0.88,0.18,930,0.6000000000000001,313,1.2000000000000002
